item_qid,label_zh,label_kk,label_en,description_zh,description_kk,description_en
Q11050431,岳云,,Yue Yun,岳飞之子,,son of Yue Fei
Q10891301,內政部消防署,,National Fire Agency,中華民國（臺灣）消防機關,,
Q10901069,劳动界,,,,,
Q221237,核爆危机,,Jericho,,,2006 TV series
Q10914107,台北國際自行車展覽會,,Taipei Cycle,,,
Q6137125,陈赛娟,,Chen Saijuan,,,Chinese geneticist
Q1275703,人論,,theological anthropology,,,"refers to the study of the human (""anthropology"") as it relates to God"
Q2556074,西科斯基 S-43,,Sikorsky S-43,,,1935 airliner flying boat family by Sikorsky
Q9357271,鄺俊宇,,Roy Kwong,香港政治人物,,Hong Kong politician
Q1398885,失禮,,faux pas,,,socially awkward or tactless act
Q2091318,范礼安,,Alessandro Valignano,,,Italian Jesuit missionary
Q877027,胡定欣,,Nancy Wu,香港女演員,,Hong Kong actor-singer
Q10942851,她從海上來,,The Legend of Eileen Chang,,,TV series or program
Q3352067,多元文化電視台,,Omni Television,,,Canadian television network
Q868855,舊學派嘻哈,,old-school hip hop,,,historical musical period; music genre
Q8275964,秦慧珠,,Chin Heui-chu,台湾政治人物,,Taiwanese politician
Q2152892,淘氣雙子星,,Two of a Kind,,,television series
Q612844,命運傳奇2,,Tales of Destiny 2,,,2002 video game
Q555355,傑夫·霍納塞克,,Jeff Hornacek,,,American basketball player and coach
Q62267814,也許明天,,Peut Etre Demain,張惠妹2004年錄音室專輯,,2004 studio album by A-Mei
Q10903149,北極 (天文),,,,,
Q1230,弗朗切斯科·科西加,,Francesco Cossiga,,,8th President of Italy (1928-2010)
Q10468322,維吉尼亞州第二十二騎兵團,,,,,
Q81328,哈里森·福特,,Harrison Ford,美國男演員，曾飾演過家喻戶曉的韓·索羅和印第安納·瓊斯兩角,,American actor (born 1942)
Q7209404,跳灰,,Jumping Ash,,,1976 film
Q15942110,甘菁菁,,,,,
Q4547184,維吉尼亞州第十騎兵團,,10th Virginia Cavalry,,,military unit
Q1054683,藥師丸博子,,Hiroko Yakushimaru,日本演員、歌手,,Japanese actress and singer (1964-)
Q15896751,鑑證實錄II,,,,,
Q2361289,关于耶和华见证人的论战,,Criticism of Jehovah's Witnesses,,,criticism of Jehovah's Witnesses by different authorities and former members
Q8463086,张充和,,Chang Ch'ung-ho,中国书法家,,Chinese calligrapher
Q11606741,絢香×可苦可樂,,,,,
Q29990430,潍汶河,,,,,
Q10883201,京津泰晤士报,,Peking and Tientsin Times,,,newspaper
Q15939697,錦壆路,,Kam Pok Road,,,
Q8051232,葉詠捷,,Yeh Yung-chieh,,,Taiwanese baseball player
Q695116,地下室手记,,Notes from Underground,,,1864 novella by Fyodor Dostoyevsky
Q371957,讓·迪厄多內,,Jean Dieudonné,法国数学家（1906–1992）,,French mathematician
Q10874404,中國 (佛教),,Madhyadeśa,,,geo-cultural sub-division of ancient India extending from the upper reaches of the Ganga and the Yamuna to the confluence of the two rivers at Prayaga
Q76684,西門·馬里烏斯,,Simon Marius,,,German astronomer
Q272231,林園,Екпетоғай,arboretum,,,botanical garden containing living collections of woody plants intended at least partly for scientific study
Q163339,大汶河,,Dawen River,中华人民共和国河流,,tributary of the lower Yellow River
Q10918453,吕青,,,,,
Q10900643,力圖唱片,,Colorway Records,,,Hong Kong record label
Q815715,种群瓶颈,,population bottleneck,,,"event that reduces size and genetic variation of a population, followed by a size recovery"
Q7967631,王坦之,,Wang Tanzhi,,,Eastern Jin Dynasty official
Q237874,披集府,,Phichit,,,province in central Thailand
Q233718,李奧汀·普萊絲,,Leontyne Price,美国女高音歌唱家,,American soprano
Q57211,哈索·冯·曼陀菲尔,,Hasso von Manteuffel,,,German general and politician (1897-1978)
Q10894773,内营力作用,,Endogenetic processes,,,
Q269693,茱恩·安德森,,June Anderson,,,singer
Q10883416,人与自然,,,,,
Q11077898,捷運電扶梯掀頭皮事件,,,,,
Q3869,马尔堡,Марбург,Marburg,德国黑森州城市,,"seat of Landkreis Marburg-Biedenkopf and city in Hesse, Germany"
Q15911445,金鎖記,,The Golden Cangue,,,Novella
Q7496457,世新大學,,Shih Hsin University,位於臺北市文山區的私立大學,,"university in Taipei, Taiwan"
Q10448193,禹刑,,,,,
Q317265,马克·威廉姆斯,,Mark Williams,威尔士斯诺克选手,,Welsh snooker player
Q131775,微腫頭龍屬,,Micropachycephalosaurus,,,genus of reptiles (fossil)
Q8314147,李聚奎,,Li Jukui,,,Chinese general
Q10871612,丧乱帖,,,,,
Q11088294,易心莹,,Xinying Yi,,,
Q454480,約翰·塞爾弗里奇,,John Selfridge,,,American mathematician (1927-2010)
Q133524,杏齒龍屬,,Amygdalodon,,,genus of reptiles (fossil)
Q144253,毒癮龍屬,,Venenosaurus,,,genus of reptiles (fossil)
Q7245111,馬爾堡公國,,Principality of Marlborough,,,short-lived micronation in 1993
Q2914988,資本適足要求,,capital requirement,,,Required amount of capital needed by financial institutions
Q10435923,盱烈,,,,,
Q789826,不依赖空气推进,,air-independent propulsion,,,propulsion system for submarines which operates without access to atmospheric oxygen
Q49267,亨德森,,Henderson,,,"city in Clark County, Nevada, United States"
Q17032638,縣道192號,,County Highway 192,宜蘭縣道,,road in Taiwan
Q2528262,上闭集合,,upper set,,,subset of a preordered set that includes all successors of its elements
Q14946576,游标卡尺,Верньер,Vernier scale,,,"auxiliary scale of a measurement device, that aids to increase measurement precision"
Q373691,钉子户,,real estate holdout,,,real estate whose owner won't give up rights
Q5524836,陳克勤,,Gary Chan,,,Hong Kong politician
Q7374641,烏梁素海,,Ulansuhai Nur,中华人民共和国内蒙古自治区湖泊,,lake of China
Q491184,錫布利縣 (明尼蘇達州),,Sibley County,,,"county in Minnesota, United States"
Q10880336,二聖路,,Ersheng Road,是高雄市一條鳳山區經由苓雅區至前鎮區的次級道路,,"is a secondary road in Kaohsiung, running from Fongshan District via Lingya District to Cianjhen District."
Q3776991,格罗顿 (马萨诸塞州),Гротон (Массачусетс),Groton,,,"town in Middlesex County, Massachusetts, United States"
Q1359305,光放大器,,optical amplifier,,,device that amplifies an optical signal
Q10902195,北京大學信息管理系,,"Department of Information Management, Peking University",,,academic department
Q11164862,生肖郵票,,New Year's stamp,,,definitive special stamp issued in some countries during the New Year's holidays
Q13999610,真静乡,,Zhenjing Township,中国四川省广安市武胜县下辖的乡,,
Q192813,灰化土,Күлгін топырақтар,podzol,,,soil type
Q748880,蓝麂羚,,Blue duiker,哺乳动物物种,,species of mammal
Q5380539,实体图,,Entitative graph,,,Element of the diagrammatic syntax for logic
Q10889500,儲秀宮,,Palace for Gathered Elegance,,,one of the six palaces in the west of the Forbidden City
Q10913782,可持續發展策略研究中心,,,,,
Q15903898,金裝四大才子,,,,,
Q271090,伊尔松,,Hirson,法国埃纳省市镇,,"commune in Aisne, France"
Q2900993,英屬處女群島分區,,Districts of the British Virgin Islands,,,
Q54359,拉马第高能太阳光谱成像探测器,,Reuven Ramaty High Energy Solar Spectroscopic Imager,,,space observatory which reentered in 2023
Q986728,野比伸助,,Nobisuke Nobi,,,character in the Doraemon series
Q10920601,周政保影帶事件,,,,,
Q649560,醫心方,,Ishinpō,,,literary work
Q114149583,李平,,,,,researcher
Q843402,華納兄弟唱片公司,,Warner Bros. Records,美國唱片公司（1958年至2019年）,,former American record label (1958 to 2019)
Q11089013,昭遠墳場,,Chiu Yuen Cemetery,,,cemetery in Hong Kong
Q985999,國家知識產權局,,China National Intellectual Property Administration,负责专利、商标及涉外知识产权事项的国务院直属机构,,the patent office of the People's Republic of China
Q47561,伊沃·安德里奇,Иво Андрич,Ivo Andrić,作家,,Yugoslav novelist (1892-1975)
Q11132957,汀角,,Ting Kok,,,Village in Hong Kong
Q11036042,小龜,,,,,
Q2351499,玛丽娅·基谢廖娃,,Mariya Kiselyova,,,Russian synchronized swimmer
Q64011,劳特布伦嫩,Лаутербруннен,Lauterbrunnen,瑞士伯尔尼州市镇,,"municipality in the canton of Bern, Switzerland"
Q536620,维利·罗尼,,Willy Ronis,,,French photographer (1910-2009)
Q510054,皇帝：龙之崛起,,Emperor: Rise of the Middle Kingdom,,,2002 video game
Q319520,盤龍目,,Pelycosaur,,,order of tetrapods
Q450769,布拉德利·麦吉,,Bradley McGee,,,Australian cyclist
Q208477,摩西·夏里特,,Moshe Sharett,,,2nd Prime Minister of Israel from 1954 to 1955
Q15940373,金夫人馳馬徑,,Lady Clementi's Ride,,,
Q10282680,广东大兴矿难,,2005 Daxing mine disaster,,,
Q4017042,維高文化,,WOW Music,,,hong kong based record label
Q1291566,小爪水獺屬,,Aonyx,鼬科的一属哺乳动物,,genus of mammals
Q1986928,雍布拉康,,Yungbulakang Palace,,,building in People's Republic of China
Q9300545,段暄,,,,,
Q10297285,摩诃摩耶,,,维基媒体消歧义页,,Wikimedia disambiguation page
Q522649,西单民主墙,,Democracy Wall,主要以80年代初期魏京生张贴大字报及主办相关民主沙龙而闻名,,"wall in Beijing, PR China"
Q47887,奈梅亨,,Nijmegen,荷兰海尔德兰省城市,,"municipality in Gelderland, Netherlands"
Q986169,叶莉,,Ye Li,中国女子篮球运动员,,Chinese basketball player
Q156062,印度国民军,,Indian National Army,武装力量,,Indian armed force fighting on the Axis side in World War II
Q45367017,葛天民,,Ge Tianmin,,,Song dynasty person CBDB = 10070
Q9186986,鄭乃文,,,前任職棒選手,,Taiwanese baseball player
Q719439,塔尔卡流浪者体育社会俱乐部,,Club Social de Deportes Rangers,,,association football club
Q10893181,六國酒店,,Gloucester Luk Kwok Hong Kong,,,
Q949243,拉克,,lakh,,,"unit in the Indian numbering system equal to 100,000 (written as 1,00,000 in the Indian digit grouping convention)"
Q1130175,維格利德,,Vígríðr,,,field foretold to host the final battle between during Ragnarök
Q122377,米舍利娜·卡尔米-雷伊,,Micheline Calmy-Rey,,,member of the Swiss Federal Council
Q110450436,赤化,,,,,
Q190145,蜘蛛人2,,Spider-Man 2,山姆·萊米執導的2004年電影,,2004 American film directed by Sam Raimi
Q14088252,海姆瑞恩,,Himring,,,fictional island in Middle-earth
Q108151101,藏春閣,,Cangchunge,金瓶梅虛構建築，位於西門慶宅,,fictional building in Jin Ping Mei
Q1070937,2006年至2007年荷蘭足球甲級聯賽,,2006–07 Eredivisie,,,football tournament edition
Q998495,东方白鹳,,Oriental White Stork,一种鸟类,,species of bird
Q4104034,伐楼尼,,Varuni,女性人名,,female given name
Q858145,挑战者号航天飞机灾难,«Челленджер» шаттл апаты,Space Shuttle Challenger disaster,1986年1月28日挑戰者號太空梭於發射升空時爆炸墜毀的重大事件,,in-flight breakup of the Challenger space shuttle in US
Q836911,拉希德·苏尼亚耶夫,,Rashid Sunyaev,,,Russian astronomer
Q6534588,梁蘇記,,Leung So Kee,,,
Q4103230,王磊,,Wang Lei,中国男子花样滑冰运动员,,Chinese pair skater
Q106221,詹姆斯·霍纳,,James Horner,電影作曲家和指揮 (1953-2015),,American film composer and conductor (1953-2015)
Q455476,輝柏嘉,,Faber-Castell,德國文具及美術用品生產商,,German manufacturing company of stationery and art products
Q560612,埃德蒙德·卡普拉尼,,Edmond Kapllani,,,Albanian footballer
Q165524,托比·马圭尔,Тоби Магуайр,Tobey Maguire,,америкалық актер,American actor and film producer (born 1975)
Q843892,杨梅科,,Myricaceae,,,family of plants
Q10886186,何式凝,,"Dr. HO Sik-ying, Petula",,,
Q10426598,电梯风波,,,,,
Q1493902,關鍵格,,key frame,,,drawing that defines the starting and ending points of any smooth transition
Q333575,C·P·斯诺,,C. P. Snow,,,English novelist and physical chemist (1905–1980)
Q178331,都靈裹屍布,,Shroud of Turin,,,length of linen cloth bearing the image of a man who is alleged to be Jesus of Nazareth
Q458689,利物浦足球俱乐部历史,,history of Liverpool F.C.,维基媒体列表条目,,aspect of history
Q695379,保罗教堂宪法,,Frankfurt Constitution,,,German constitution of 28 March 1849
Q10939328,天天樂翻天,,Happy Day,,,a variety show of Taiwan Television Corporation (Taiwan TV)
Q1552690,角鮟鱇科,,Ceratiidae,,,family of fishes
Q847820,絕對武力：一觸即發,,Counter-Strike: Condition Zero,CS:CZ，射擊類電子競技遊戲,,2004 first-person shooter video game by Valve Corporation
Q1061384,透骨草科,,Phrymaceae,,,family of plants
Q11036488,少年英雄方世玉,,Young Hero Fang Shiyu,,,Hong Kong TV series or program
Q684526,山西航空,,Shanxi Airlines,,,airline
Q1143474,透写纸,,tracing paper,,,"paper made to have low opacity, allowing light to pass through"
Q10918691,吳善九,,,,,politician (1958-2007)
Q404600,小兴安岭,Кіші Хинган,Lesser Khingan,中国东北地区山脉,,mountain range
Q710895,隋棠,,Sonia Sui,臺灣女演員、模特兒,,Taiwanese model and actress
Q17031556,藥燉土虱,,,,,
Q10422789,瓜菜代,,,,,
Q15923213,羅鎮岳,,,,,
Q15921637,潘文渊,,Pan Wen-Yuan,,,Chinese-American electrical engineer
Q986655,洛斯蘭恩,,Lothlann,,,fictional location
Q11086319,日本國鐵ED75型電力機車,,JNR Class ED75,日本的电力机车,,class of 302 Japanese electric locomotives
Q1229994,偏執狂,Паранойя,paranoia,,,"thought process believed to be heavily influenced by anxiety or fear, often to the point of delusion and irrationality"
Q1023601,高分辨率天文中心,,CHARA array,,,"optical interferometer at Mount Wilson, California"
Q27154,萨特弗里斯兰语,,Saterland Frisian,,,last living dialect of the East Frisian language
Q43347,鲁米,Жалаладдин Руми,Rumi,波斯诗人,"әйгілі парсы ақыны, сопы",Sufi and Persian poet
Q1269599,寡妇和不义的官的比喻,,Parable of the Unjust Judge,,,Jesus' parable
Q70626,卢普区,,Chicago Loop,芝加哥的一个区,,"central business district of Chicago, Illinois, United States"
Q245098,介值定理,,intermediate value theorem,數學定理,,theorem
Q925613,鸢尾蒜科,,Ixioliriaceae,植物的一科,,family of plants
Q6135650,川崎重工業C151電力動車組,,Kawasaki Heavy Industries C151,,,class of electric multiple units in Singapore
Q915868,剪接體,Сплайсосома,spliceosome,從初級轉錄物中移除內含子的分子機器,,molecular machine that removes intron RNA from the primary transcript
Q202006,奥卢塞贡·奥巴桑乔,,Olusegun Obasanjo,,,Nigerian president (1999-2007) and military leader (1976–79)
Q526596,慕尼黑有轨电车,,Munich Tramway,,,tram system
Q11147534,活俑,,,,,novel by Ni Kuang
Q208357,查理·盧西安諾,,Lucky Luciano,,,Italian American mobster (1897–1962)
Q855006,牽招,,,,,
Q11136021,汤寿潜,,Shouqian Tang,清末民初浙江政治家,,Republic of China person CBDB = 63571
Q15902406,臺灣汽車客運公司,,"Taiwan Motor Transport Co., Ltd.",,,
Q12269785,蔡珽,,Cai Ting,,,Qing dynasty politician
Q632990,峴港SHB足球俱樂部,,SHB Da Nang F.C.,越南足球俱乐部,,association football club in Vietnam
Q10876429,中華民國空軍軍官學校,,Republic of China Air Force Academy,台灣高雄市岡山區的軍事院校,,"Military academy in Gangshan, Kaohsiung, Taiwan"
Q208473,普热梅希尔,,Przemyśl,波兰东南部边境城市,,city in southeastern Poland
Q380012,狀語,Пысықтауыш,adverbial,語言單位,Етістікті толықтыратын сөз немесе сөздер,word or group of words that modify a verb
Q211014,东方站,,Vostok Station,1957年建立的一个科考站,,"research station in inland Princess Elizabeth Land, Antarctica"
Q2529373,國際橘,,international orange,,,"color, shade of orange with red; used in the aerospace industry to set objects apart from their surroundings"
Q6776837,林安泰古厝,,Lin An Tai Historical House and Museum,,,"museum in Taipei, Taiwan"
Q2344974,垂花属,,Philesia magellanica,,,genus of plants
Q449145,斯科特·尼德梅爾,,Scott Niedermayer,,,Canadian ice hockey player (born 1973)
Q159690,钢琴教师,,The Piano Teacher,2001年电影,,2001 film directed by Michael Haneke
Q2343923,T-34教練機,,Beechcraft T-34 Mentor,,,trainer aircraft family
Q15938841,趙鑫洲,,,,,
Q9428597,胡菊人,,,,,
Q2758210,毛剑卿,,Mao Jianqing,退役足球运动员，中国国家队前国脚,,Chinese footballer
Q2937249,好望角照相星表,,Cape Photographic Durchmusterung,,,astronomical catalogue
Q2001317,绝热膨胀,,adiabatic expansion,,,thermodynamic process
Q217242,加丹加省,,Katanga Province,刚果民主共和国城市,,former province of the Democratic Republic of the Congo
Q287166,水田山葵,,Wasabi Mizuta,,,Japanese voice actress (born 1974)
Q1156570,狄布開步,,dabke,,,Levantine folk dance and music genre
Q25255,第四世达赖喇嘛,,Yonten Gyatso,,,4th Dalai Lama of Tibet (1589-1616)
Q7083892,旧东方,,Old East,,,Residence hall at the University of North Carolina at Chapel Hill (USA)
Q828158,蒸發散,Эвапотранспирация,evapotranspiration,,,biophysicogeochemical process
Q267753,捲舌音,,retroflex consonant,,,type of consonant articulation
Q313748,利沃夫-桑多梅日攻勢,,Lvov–Sandomierz Offensive,,,military offensive that lasted from 13 July 1944 – 29 August 1944
Q10932217,夏雪宜,,,,,
Q2328959,愛拉與穴熊族,,The Clan of the Cave Bear,,,1980 novel by Jean M. Auel
Q7250525,和宜合,,Wo Yi Hop,,,Village and area of Hong Kong
Q181903,阿爾及利亞國家足球隊,Алжир Ұлттық футбол құрамасы,Algeria national football team,球队,,men's national football team of Algeria
Q504350,伊贝维尔堂区 (路易斯安那州),,Iberville Parish,,,"parish in Louisiana, United States"
Q189299,项链,,necklace,,,article of jewellery
Q719250,筒井康隆,,Yasutaka Tsutsui,,,"Japanese novelist, science fiction author, and actor"
Q6067975,伊拉克武装革命抵抗组织,,Iraqi Armed Revolutionary Resistance,,,
Q15925050,澳門二星級酒店,,,,,
Q2067270,1978-79 NBA赛季,,1978–79 NBA season,,,sports season
Q11134339,江山萬里情,,,,,
Q1850450,M67手榴彈,,M67 grenade,,,hand grenade
Q9057196,王紹安,,Wang Shao-an,,,Taiwanese swimmer
Q73093,保罗·卡勒,,Paul Karrer,研究者,,Swiss chemist (1889-1971)
Q702569,罗京,,Luo Jing,原中国中央电视台新闻播音员,,Chinese television presenter
Q843578,沖繩電視台,,Okinawa Television,,,"television station in Okinawa Prefecture, Japan"
Q1807916,維真神學院,,Regent College,,,"graduate school of Christian Studies in Vancouver, British Columbia"
Q866982,分子生物學史,,history of molecular biology,,,aspect of history
Q631703,哈普托獸屬,,Haptodus,,,extinct genus of basal sphenacodont
Q522942,雕齒甲龍,,Glyptodontopelta,,,genus of reptiles (fossil)
Q5925452,黄碧仁,,Huang Biren,新加坡女演员,,Singaporean television actress
Q669459,澳大利亚君主,,monarchy of Australia,国家元首,,form of government in Australia
Q205411,太平洋板塊,,Pacific Plate,地球板块,,oceanic tectonic plate
Q10396104,溜山,,,,,
Q1249481,國家首都轄區,,National Capital Region,,,region in India
Q3496310,古角龍科,,Archaeoceratopsidae,,,family of reptiles (fossil)
Q11122347,橫龍,,,,,
Q977436,俄羅斯空降軍,,Russian Airborne Troops,俄国军种,,military branch of the Armed Forces of the Russian Federation
Q2924821,熱河翼龍,,Jeholopterus,,,genus of reptiles (fossil)
Q646805,南砺市,Нанто,Nanto,位於日本富山縣西南部的行政區劃,,"city in Toyama Prefecture, Japan"
Q1130973,能美郡,,Nomi district,位於日本石川縣南部的郡,,"district in Ishikawa prefecture, Japan"
Q261276,馬修·梅瑟生,,Matthew Meselson,,,American geneticist and molecular biologist
Q2444911,爆裂戰士戰藍寶,,Shinzo,,,Japanese anime television series
Q581708,粟島浦村,,Awashimaura,日本新潟縣岩船郡的村,,"village in Iwafune district, Niigata prefecture, Japan"
Q1203099,元興寺,,Gangō-ji,,,"Buddhist temple in Nara Prefecture, Japan"
Q1349436,中能登町,,Nakanoto,位於日本石川縣北部的行政區劃,,"town in Kashima district, Ishikawa prefecture, Japan"
Q19009,埃德温·麦克米伦,,Edwin McMillan,美国化学家（1907－1991）,,American physicist (1907-1991)
Q1189992,三宅支廳,,Miyake Subprefecture,,,"subprefecture of Tokyo Metropolis, Japan"
Q313869,因提夫二世,,Intef II,,,Egyptian Pharaoh
Q9128359,宋智愛,,Song Chih Ai,,,Taiwanese actress
Q15283387,羅理基博士大馬路,,Avenida do Doutor Rodrigo Rodrigues,澳門新口岸北部的道路,,road in Macau
Q290326,韮崎市,,Nirasaki,日本山梨縣的市,,"city in Yamanashi prefecture, Japan"
Q653402,下田市,,Shimoda,日本靜岡縣市,,"city in Shizuoka prefecture, Japan"
Q10903121,北果洲,,North Ninepin Island,,,"island in Hong Kong, People's Republic of China"
Q290117,二次规划,,quadratic programming,,,solving an optimization problem with a quadratic objective function
Q16313,颞骨,Самай сүйек,temporal bone,,,"bones situated at the sides and base of the skull, and lateral to the temporal lobes of the cerebrum"
Q457318,巴黎大皇宫,,Grand Palais,法国巴黎建筑,,"museum in Paris, France"
Q18426314,络合滴定,,complexometric titration,,,used to determine total hardness of water
Q16169360,铁岭卫,,,,,
Q4559915,1914年世界大賽,,1914 World Series,,,1914 Major League Baseball championship series
Q988160,Wii發售日列表,,Wii launch,维基媒体列表条目,,Wikimedia list article
Q562887,二宮城光,,Jōkō Ninomiya,日本全接触空手道高手，圆心会馆创始人,,"Japanese full-contact karate master, the founder of Enshin kaikan"
Q1077302,2008年夏季奧林匹克運動會開幕式,,2008 Summer Olympics opening ceremony,,,ceremony held at the Beijing National Stadium
Q16936051,磁湖,,,中华人民共和国湖泊,,lake of China
Q705472,吉姆·吉尔摩,,Jim Gilmore,,,American politician and former Governor of Virginia
Q2609735,查拳,,Chāquán,,,Chinese martial art
Q11638745,近藤周助,,,,,
Q987916,銀色鑽石,,Silver Diamond,,,Japanese manga series
Q442729,何塞·菲格罗亚·阿尔科塔,,José Figueroa Alcorta,,,former President of Argentina (1860-1931)
Q746728,雙聖樹,,Two Trees of Valinor,,,group of fictional trees from J.R.R. Tolkien's legendarium
Q131547,泰坦巨龍屬,,Titanosaurus,,,genus of reptiles (fossil)
Q147989,华金·巴拉格尔,,Joaquín Balaguer,多米尼加政治人物（1906—2002）,,President of the Dominican Republic (1906-2002)
Q1134872,福佳白啤酒,,Hoegaarden Brewery,比利时啤酒品牌,,brewing structure located in Belgium
Q10881891,五朵金花,,Five Golden Flowers,1959年中国大陆电影,,1959 film
Q10915674,台灣舞蹈,,Taiwanese dance,舞蹈種類,,
Q708605,滨海新区,,Binhai New Area,中國天津市的市轄區,,"district of Tianjin, China"
Q16929327,裡冷林道,,Lilang Forest Road,,,
Q153080,東法蘭克王國,,East Francia,843-962年歐洲國家,,country in Western Europe from 843 to 962; predecessor to the Kingdom of Germany
Q11597545,空軍航空技術學院,,Air Force Institute of Technology,,,academic institution in Taiwan
Q8221,山地-多瑙县,Альб-Дунай,Alb-Donau-Kreis,,,"district in Baden-Württemberg, Germany"
Q1063096,和菓子,,wagashi,日本料理,,traditional Japanese confectionery
Q15938539,1931年臺灣,,1931 in Taiwan,,,list of events
Q78603,克里斯蒂安·冯·厄棱费尔,,Christian von Ehrenfels,,,Austrian philosopher (1859-1932)
Q10938650,大鵬灣國家風景區,,,,,
Q19854679,何超雲,,Florinda Ho,,,
Q11083920,新福利 (消歧義),,,维基媒体消歧义页,,Wikimedia disambiguation page
Q161223,07th Expansion,,07th Expansion,,,Japanese dōjin circle
Q335315,你往何處去,,Quo Vadis,波蘭小說,,historical novel written by Henryk Sienkiewicz
Q4439468,哥倫·史坦高夫斯基,,Goran Stankovski,,,Macedonian footballer
Q48564,瓦螨,,Varroa destructor,一种节肢动物,,species of arthropods
Q11665465,風將,,,,,
Q194233,牛耕式轉行書寫法,бустрофедон,boustrophedon,,,"form of writing, left-to-right and right-to-left in alternate lines"
Q8028096,明月照尖東,,With or Without You,,,2003 film
Q10866166,三林環球,,,,,
Q132773,巨板龍屬,,Macroplata,,,genus of reptiles (fossil)
Q684494,鹿島市,,Kashima,日本佐賀縣的市,,"city in Saga Prefecture, Japan"
Q7648392,谢淑丽,,Susan Shirk,,,American academic
Q1196089,尤利西斯·摩爾,,Ulysses Moore,,,novel series by Pierdomenico Baccalario
Q1936487,有益生物,,beneficial organism,,,organism that is beneficial for human activity
Q17034060,群眾專政,,,,,
Q11052618,崇仁醫護管理專科學校,,"Chung Jen Junior College of Nursing, Health Science and Management",,,junior college in Taiwan
Q907127,小笠原長時,,Ogasawara Nagatoki,,,daimyo
Q76487,保罗·海泽,Пауль Хейзе,Paul Heyse,,,German writer
Q10296919,成大吉,,,,,
Q170263,切斯特,,Chester,英格兰城市,,"city in Cheshire, England"
Q1040480,工尺谱,,Gongche notation,,,Chinese music classical notation system
Q11110887,核原料,,,,,
Q8296648,廖运周,,,,,
Q647274,東京六大學棒球聯盟,,Tokyo Big6 Baseball League,,,intercollegiate baseball league that features six prominent universities in the Tokyo area
Q2092059,派克峰國際爬山賽,,Pikes Peak International Hill Climb,,,"motorsport hillclimb race in Pikes Peak, United States"
Q1798592,克勞德·史特萊夫,,Cloud Strife,最終幻想VII主人公,,protagonist of Final Fantasy VII
Q17038409,豐鎮戰鬥,,,,,
Q7896,韦拉-迈斯讷县,Верра-Майснер,Werra-Meißner-Kreis,,,"district in Hesse, Germany"
Q139201,元謀龍屬,,Yuanmousaurus,,,genus of reptiles (fossil)
Q1131499,員辨郡,,Inabe district,位於日本三重縣北部的郡,,"district in Mie prefecture, Japan"
Q319137,謝爾登·阿德爾森,,Sheldon Adelson,,,American businessman and philanthropist
Q548744,Vz. 59通用機槍,,UK vz. 59,,,general-purpose machine gun
Q6121470,馀眛,,Yumei,,,"King of Wu, rule 543–527 BC"
Q1203952,飛島村,,Tobishima,位於日本愛知縣西部的行政區劃,,"village in Ama district, Aichi Prefecture, Japan"
Q900981,後免車站,,Gomen Station,,,"railway station in Nankoku, Kochi prefecture, Japan"
Q16185,格羅塞托省,,Province of Grosseto,意大利托斯卡纳大区省份,,province of Italy
Q42715,索馬利貓,,Somali,,,cat breed
Q326438,丹尼斯·韋斯,,Dennis Wise,,,English football player and manager (born 1966)
Q4045598,OGLE-TR-56 b,,OGLE-TR-56b,太陽系外行星,,extrasolar planet
Q7624687,强关联,,strongly correlated material,,,materials with electrical properties that cannot be explained by non-interacting entities
Q1204497,小谷村,,Otari,日本長野縣的村,,"village in Kitaazumi district, Nagano prefecture, Japan"
Q7973495,省水效率,,water efficiency,,,gallons per capita per day
Q994823,秋山準,,Jun Akiyama,,,Japanese professional wrestler
Q235814,提帕萨省,,Tipasa Province,阿尔及利亚省份,,province of Algeria
Q277793,A大調,,A major,,,tonality
Q5595,庫爾斯沙嘴,,Curonian Spit,,,dune spit in Lithuania and Russia
Q305175,辻谷耕史,,Kōji Tsujitani,,,"Japanese actor, voice actor, narrator and director of audiography"
Q170287,苏博蒂察,,Subotica,塞尔维亚城市,,city in Serbia
Q186153,普罗科匹厄斯,,Procopius,東羅馬帝國史家,,6th-century historian
Q236732,2007年10月,,October 2007,格里历月,,month of 2007
Q13681254,杏花村,,,,,village in China
Q9217417,林佑星,,,,,
Q184651,毒素,Уыттар,toxin,,,"poisonous substance produced by an organism (prokaryot, plant, fungus, animal, ...)"
Q6905,弗兰肯塔尔,Франкенталь,Frankenthal,,,"town in Rhineland-Palatinate, Germany"
Q3925460,汪明欣,,Wang Mingxin,,,Hong Kong writer
Q10864111,一頁書,,One Page Book,,,
Q483774,烏茲別克斯坦國旗,Өзбекстан туы,flag of Uzbekistan,旗幟,,flag
Q13334,奥尔良大学,,University of Orléans,1966年建立、位于法国奥尔良的大学,,French university in Orléans created in 1966
Q5480744,法蘭西斯·杜德,,Francis Dodd,,,American brigadier general (1899–1973)
Q1203167,上北山村,,Kamikitayama,位於日本奈良縣南部吉野地區的行政區劃,,"village in Yoshino district, Nara prefecture, Japan"
Q1057744,松岡昌宏,,Masahiro Matsuoka,,,Japanese actor and musician
Q10938494,大青龙汤,,,,,
Q10917145,吉庇路,,Jibi Alley,,,
Q8928786,陳世斌,,,,,Taiwanese baseball player
Q702575,罗清泉,,Luo Qingquan,,,Chinese politician
Q98918,李輝香,,Lee Hwi-hyang,韓國女演員,,South Korean actress
Q8260557,韓毓霞,,Wendy Hon,,,
